"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242","User should not be able to create two projects with the same id","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest"
"","2940","User should be able to create build type","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","187","User should be able to get project details by project name","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userGetsProjectDetailsByProjectNameTest"
"","42713","setupTeamCityServerTest","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","288","User should be able to create project","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectTest"
"","167","User should not be able to create project with empty request body","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyRequestBodyTest"
"","143","User should treat SQL Injection payload as plain text ","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithSqlInjectionPayloadInNameTest"
"","384","User should not be able to create two build types with the same id","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest"
"","1","Project admin should be able to create build type for their project","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest"
"","142","User should not be able to create project with invalid user password","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidPasswordTest"
"","117","User should not be able to create project without authentication","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithoutAuthenticationTest"
"","4","Project admin should not be able to create build type for not their project","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest"
"","149","User should not be able to create project with empty name","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameTest"
"","154","User should not be able to create project with null name","Surefire suite","2026-08-03","passed","2026-08-03","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithNullNameTest"
